fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221002 222451	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	147	TRUE	318601	0.145616429807909	0.306784136034548	7809	518	8868	25710000	1
20221002 222641	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	147	TRUE	318601	0.145616429807909	0.306784136034548	7809	518	8868	25710000	2
20221002 222709	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	40	TRUE	318601	0.0834737972259172	0.663690977990627	885	253	10355	26170000	3
20221002 222720	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	45	TRUE	318601	0.223651835209283	0.792193759297952	3881	202	8493	25900000	4
20221002 222731	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	24	TRUE	318601	0.180621412794164	0.352816785583273	4437	727	13920	23840000	5
20221002 222742	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	35	TRUE	318601	0.199064192932565	0.929384038336575	3405	547	5723	2.4e+07	6
20221002 223020	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	968	TRUE	318601	0.0134893078774912	0.561041131941602	7423	442	7500	27080000	7
20221002 223104	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	187	TRUE	318601	0.0367331836398225	0.504130012392998	2861	811	12222	25400000	8
20221002 223121	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	81	TRUE	318601	0.18422110872739	0.467979650488123	5328	693	7407	25670000	9
20221002 223138	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	80	TRUE	318601	0.133513528499752	0.808093674657866	5017	66	12825	24510000	10
20221002 223148	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	12	TRUE	318601	0.227599090844742	0.619345259433612	2030	826	14414	22700000	11
20221002 223200	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9	TRUE	318601	0.255031653499231	0.700226778648794	607	117	9397	22810000	12
20221002 223211	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	54	TRUE	318601	0.291373399241304	0.236966561852023	6685	301	6507	25710000	13
20221002 223233	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	60	TRUE	318601	0.0626057774724904	0.725666746441275	1502	577	9846	26390000	14
20221002 223318	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	302	TRUE	318601	0.0723070157451439	0.419531271094456	4339	48	10779	26210000	15
20221002 223325	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	15	TRUE	318601	0.264829627023078	0.868293732879683	5835	671	11631	24900000	16
20221002 223350	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	95	TRUE	318601	0.114814831251162	0.543968258360401	1750	1012	5210	24300000	17
20221002 223407	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	111	TRUE	318601	0.104167348725547	0.912540982346982	6041	408	6034	25300000	18
20221002 223443	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	130	TRUE	318601	0.0285841408901033	0.390601489450783	6857	880	14917	23210000	19
20221002 223556	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	147	TRUE	318601	0.157656915107451	0.991152786435559	147	973	13243	22240000	20
20221002 223619	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	165	TRUE	318601	0.278271642649896	0.24389444578439	2505	355	11460	24360000	21
20221002 223902	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1071	TRUE	318601	0.0134389735963843	0.537028044603482	3755	311	8448	27030000	22
20221002 224018	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	457	TRUE	318601	0.0155421859601605	0.595450568510805	6378	261	8313	27060000	23
20221002 224141	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	673	TRUE	318601	0.0219941673084364	0.22838393549606	5669	422	7894	27020000	24
20221002 224223	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	207	TRUE	318601	0.0444330080890935	0.549425413050758	4681	406	8558	26810000	25
20221002 224746	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2371	TRUE	318601	0.00504683152195301	0.384958321878487	7135	199	7430	26740000	26
20221002 225133	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1348	TRUE	318601	0.00501459448528132	0.586437409931521	6283	574	8026	26750000	27
20221002 225256	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	370	TRUE	318601	0.0210996425070243	0.232977069719747	2109	309	9550	27220000	28
20221002 225406	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	292	TRUE	318601	0.0152748894889307	0.631975485795989	2291	265	9923	26880000	29
20221002 225443	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	193	TRUE	318601	0.0339485894196315	0.202462816091344	2517	289	8390	27140000	30
20221002 225615	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	410	TRUE	318601	0.0138548276140115	0.276981655581068	1214	401	8748	27150000	31
20221002 225752	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	944	TRUE	318601	0.0177130677646472	0.959872374149049	7997	337	8211	26700000	32
20221002 225900	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	397	TRUE	318601	0.0202715959958596	0.201254569355369	2741	415	9069	27070000	33
20221002 225951	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	213	TRUE	318601	0.0273930985205174	0.293841941051002	1577	276	9155	27210000	34
20221002 230037	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	214	TRUE	318601	0.0282049531183855	0.20010074345502	1314	338	10092	26460000	35
20221002 230208	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	415	TRUE	318601	0.0138958944027784	0.344771633291524	2062	266	8670	27060000	36
20221002 230354	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	554	TRUE	318601	0.0135938496407524	0.255410857219066	3651	27	8411	27340000	37
20221002 230415	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	130	TRUE	318601	0.0673635082040145	0.785684474638662	7978	153	7888	26870000	38
20221002 230553	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	432	TRUE	318601	0.0154528689252179	0.240170899128485	2398	164	7288	27350000	39
20221002 230700	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	365	TRUE	318601	0.0149627024570454	0.732389579759075	4296	201	7318	26730000	40
20221002 230745	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	303	TRUE	318601	0.0248897093190558	0.790135525623767	8000	275	9643	26160000	41
20221002 231058	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1063	TRUE	318601	0.00857379772418251	0.254568237952345	3603	255	7721	27520000	42
20221002 231114	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	68	TRUE	318601	0.181279513823114	0.998724806133029	7983	132	8265	26110000	43
20221002 231303	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	591	TRUE	318601	0.00834591324824145	0.228413080502126	4398	267	5023	24280000	44
20221002 231321	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	59	TRUE	318601	0.0838929352827401	0.259164178698959	3201	175	7624	26040000	45
20221002 231332	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	57	TRUE	318601	0.236204695151386	0.651884533598682	8000	268	7745	25710000	46
20221002 231357	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	155	TRUE	318601	0.0490025589487676	0.938316454976737	3634	17	9060	26680000	47
20221002 231938	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1255	TRUE	318601	0.00556721790085554	0.793344553110324	8	176	7836	26810000	48
20221002 232037	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	367	TRUE	318601	0.0305432936488921	0.631959519518597	1276	43	7840	26880000	49
20221002 232453	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	926	TRUE	318601	0.00500244938678657	0.242688769836711	1721	234	7825	27550000	50
20221002 233107	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1577	TRUE	318601	0.00624259409925438	0.254802037858093	20	235	7645	27110000	51
20221002 233328	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	941	TRUE	318601	0.00776325779326283	0.253793077840887	7996	1022	7652	26300000	52
20221002 234452	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	649	TRUE	318601	0.00512921525346505	0.60971003305086	4	916	7640	25600000	53
20221002 234554	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	217	TRUE	318601	0.0195862176752965	0.999847164048913	1524	253	8012	27020000	54
20221002 234828	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1134	TRUE	318601	0.00531656670410979	0.99183944726138	554	16	9630	26340000	55
20221002 234854	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	183	TRUE	318601	0.0575347097541959	0.817442291319064	7997	1023	7655	26690000	56
20221002 234904	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	43	TRUE	318601	0.299757985404149	0.998818285138243	6816	1019	8128	25750000	57
20221002 234919	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	75	TRUE	318601	0.297855788396096	0.250140878206507	6747	1024	8556	25210000	58
20221002 235019	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	390	TRUE	318601	0.0214978690725581	0.999311674688234	3816	1024	8146	26670000	59
20221002 235101	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	170	TRUE	318601	0.0300646247543945	0.831748847491576	2480	303	8225	27070000	60
20221002 235129	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	224	TRUE	318601	0.0695075725424468	0.999922282910154	7021	749	8306	26670000	61
20221002 235351	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	905	TRUE	318601	0.00957597668764999	0.246889132876016	3503	993	7802	27440000	62
20221002 235509	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	585	TRUE	318601	0.0344128118627656	0.547525466549267	7897	16	7917	27290000	63
20221003 000759	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2101	TRUE	318601	0.00688393796228564	0.641547069074004	7979	16	7648	26870000	64
20221003 002812	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2122	TRUE	318601	0.00524909563520169	0.248932139144313	3312	739	7787	27310000	65
20221003 003109	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1009	TRUE	318601	0.00662622697343146	0.263265355857736	3822	1023	9321	26800000	66
20221003 003153	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	221	TRUE	318601	0.028043072952219	0.244166207585916	2992	1024	7675	26890000	67
20221003 003238	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	287	TRUE	318601	0.0499239976424174	0.568181398105342	7958	298	7855	26930000	68
20221003 003504	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1294	TRUE	318601	0.00995865533304667	0.999492753158388	7302	1016	7050	26380000	69
20221003 003516	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	49	TRUE	318601	0.210061380739615	0.244237248531921	6172	16	9121	26320000	70
20221003 003535	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	102	TRUE	318601	0.117245079734053	0.584197466328113	6914	16	8367	26230000	71
