Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.0845372353091986	0.0199847510048084	0.0144215530903328
ctrx_quarter	0.0627800745605431	0.0160817003591938	0.0142774816308889
pasivos	0.046581458372789	0.018523865529653	0.014464774528166
cpayroll_trx	0.0394463582808132	0.0134084083052717	0.00455265811842674
mpasivos_margen	0.0389196524729628	0.0129380929538192	0.0134850886039476
mpayroll_sobre_edad	0.0381330426018117	0.0307842344243715	0.0127503241607838
mcaja_ahorro	0.0367662519549134	0.0162526238200972	0.0198530471113672
activos	0.0320884820351401	0.0239309912934823	0.024146376602795
mpayroll	0.0270674151964859	0.0217777774497079	0.0113096095663449
mcuentas_saldo	0.026855358032209	0.0222296530522274	0.0232099121164097
total_payroll	0.0260392015992588	0.0227570078900832	0.0109926523555684
balance	0.0241473192771437	0.0154752598809614	0.0154444604523844
mprestamos_personales	0.0227716494985542	0.0171962262971909	0.00790952312346924
mtarjeta_visa_consumo	0.0206723118476303	0.0112296525197048	0.0102434807664602
mrentabilidad_annual	0.0186223402223626	0.0208447495534962	0.0182538539115401
limitecompra_vs_ingresos	0.0176354811680163	0.0197442975296241	0.0116409739230658
ctarjeta_visa_transacciones	0.0168984198946634	0.00950146478437766	0.0107909523123469
ctarjeta_debito_transacciones	0.0165279901891733	0.0117470397532248	0.0155741247658839
mv_status01	0.0151384021249721	0.0178418004537106	0.00292465062671085
tasa_rentabilidad	0.0145918391192924	0.0167885734742121	0.0224319262354128
mcomisiones_mantenimiento	0.0139062302465471	0.0174747519507912	0.00996974499351678
mcuenta_corriente	0.0129553254682554	0.00902994115251057	0.0120299668635643
mautoservicio	0.0106577153156049	0.0144662897170716	0.0164961821063247
mactivos_margen	0.00968497018208619	0.0116629139384427	0.0144215530903328
cprestamos_personales	0.00949148068748161	0.0109520671124834	0.00525860826970177
mrentabilidad	0.00935878809009382	0.0108956721841182	0.012202852614897
mv_msaldototal	0.00933521909185479	0.00804047791010294	0.0102434807664602
cliente_activo_en_tarjetas	0.00898686042385802	0.000961548703040418	0.000648321567497479
activos_vs_pasivos	0.0085802532743854	0.0115736912224751	0.0149690246362196
ccomisiones_otras	0.00777308357068552	0.0111066972239933	0.0112519809825674
cdescubierto_preacordado	0.00763384744573569	0.0116215076435305	0.00308312923209912
active_quarter	0.00714974128428467	0.00046722019651718	0.000316957210776545
total_saldo	0.00709418142996997	0.0051808483109742	0.00785189453969169
Visa_fechaalta	0.00705764103015256	0.0129677880049946	0.0142630744849445
ccomisiones_mantenimiento	0.00632748398150024	0.0121045659570316	0.00412044374009509
Master_fechaalta	0.00631796009857647	0.0118400007639963	0.0153724247226624
cproductos	0.00620958724691251	0.00733013240706216	0.00900446621524276
mvr_mpagominimo	0.00616931288258994	0.00963593490735016	0.0136435672093358
mcomisiones	0.0057932267470312	0.00817056518023351	0.0107621380204581
cliente_edad	0.00564614194793894	0.0105510009777506	0.0156749747874946
mv_msaldopesos	0.00553102459428728	0.00592793574943936	0.00805359458291312
Visa_mpagominimo	0.00543435515134093	0.00892595458295581	0.0138596743985017
mvr_msaldopesos	0.00536566258094959	0.00907536299436404	0.0111943523987898
ccajas_consultas	0.00533419419166868	0.011394543796637	0.00243480766460164
ccaja_seguridad	0.00524376013131503	0.013014033803328	0.00247802910243481
mv_mpagominimo	0.00503805332553134	0.00828319974740359	0.0109206166258464
mv_fechaalta	0.00492511186563766	0.005891233522761	0.0113240167122893
mcomisiones_otras	0.0048892983667702	0.00870607307454884	0.0113384238582337
Master_Fvencimiento	0.00481455804252017	0.00743985192682354	0.0129520242040052
mvr_msaldopesos2	0.00457528552079915	0.00987371796936459	0.0117130096527878
consumo_tarjeta_promedio	0.00422787971431861	0.00425237344794457	0.00649762282091918
mv_Fvencimiento	0.00396562171853449	0.00542376301932694	0.0101282235989051
mcuenta_debitos_automaticos	0.00388625181915789	0.010563361034034	0.0079671517072468
Visa_msaldototal	0.00377078693175539	0.00634869174952005	0.00979685924218412
Visa_mconsumospesos	0.00374555697467082	0.00712292437039828	0.0133266099985593
mvr_msaldototal	0.00367532385771465	0.00825419463569033	0.0098256735340729
mtransferencias_recibidas	0.00360518429910492	0.00521928637712142	0.0103443307880709
Visa_msaldopesos	0.00352405006757153	0.0064045747186955	0.0087019161504106
Visa_status	0.0034109227635454	0.00851935120540745	0.00162800749171589
Visa_cconsumos	0.00337916680227892	0.00547220130770842	0.00946549488546319
chomebanking_transacciones	0.00328238569812161	0.00382224263837944	0.00790952312346924
mv_status04	0.00327249728540926	0.00229905910431212	0.00110935023771791
cliente_antiguedad	0.00320123561869471	0.00491689151265468	0.0103587379340153
Visa_Fvencimiento	0.00315040676047631	0.00427159815369619	0.0088315804639101
numero_de_cliente	0.00279000592688481	0.00494033314541666	0.00976804495029535
ccallcenter_transacciones	0.00278286006477229	0.014588157276776	0.00371704365365221
mv_status06	0.00272147999556875	0.00152455561305926	0.000922057340440859
Visa_mpagospesos	0.00267594338831266	0.00544373439132068	0.00975363780435096
Master_mfinanciacion_limite	0.00258165930654607	0.00390924308273946	0.0098256735340729
mv_mpagospesos	0.00251436701889262	0.00358805676330357	0.00707390865869471
thomebanking	0.00250334690492237	0.00320841278796369	0.00283820775104452
mvr_mpagospesos	0.00247925327419093	0.00466378442010034	0.00782308024780291
mvr_mconsumospesos	0.00242673077790541	0.00970318025056529	0.0103299236421265
Master_mlimitecompra	0.00231794598970849	0.00348999317866852	0.00814003745857946
mtransferencias_emitidas	0.00229528137471143	0.00804874016561408	0.0106180665610143
Visa_mconsumototal	0.00227041238179791	0.00408870888763047	0.00789511597752485
Visa_mfinanciacion_limite	0.00211378281648192	0.00355875879958841	0.00711713009652788
mcaja_ahorro_dolares	0.00208283062240659	0.0037929602745288	0.00806800172885751
mv_mconsumospesos	0.0020256551637551	0.00421379214667778	0.00739086586947126
tiene_master	0.00197004208116897	0.000294823966587206	0.000417807232387264
cmobile_app_trx	0.00193883484120167	0.00327684726630516	0.00319838639965423
Master_status	0.00192951146773831	0.00319821827650784	0.000922057340440859
mpagomiscuentas	0.0019293005619833	0.00346928790395816	0.00655525140469673
internet	0.00192225001279837	0.00817037514552041	0.00214666474571387
mvr_mconsumototal	0.00189450377007882	0.0071016809003624	0.00744849445324881
